IF,THEN,Support,Confidence,Lift
['flour'],sugar,0.00498220640569395,0.28654970760233917,8.463112235042061
"['citrus fruit', 'other vegetables', 'whole milk']",root vegetables,0.005795627859684799,0.4453125,4.085492945429105
"['butter', 'other vegetables']",whipped/sour cream,0.005795627859684799,0.2893401015228426,4.036397019116536
['herbs'],root vegetables,0.007015760040671073,0.43125,3.9564773787313436
"['rolls/buns', 'root vegetables']",beef,0.00498220640569395,0.20502092050209206,3.9077146378644874
"['citrus fruit', 'pip fruit']",tropical fruit,0.005592272496187087,0.40441176470588236,3.8540597925216593
['berries'],whipped/sour cream,0.009049313675648195,0.27217125382262997,3.796885505454703
"['other vegetables', 'tropical fruit', 'whole milk']",root vegetables,0.007015760040671073,0.4107142857142857,3.7680736940298507
"['whipped/sour cream', 'whole milk']",butter,0.006710726995424504,0.2082018927444795,3.7571846149393684
"['root vegetables', 'whole milk', 'yogurt']",tropical fruit,0.0056939501779359435,0.3916083916083916,3.7320431506478022
"['other vegetables', 'pip fruit', 'whole milk']",root vegetables,0.005490594814438231,0.40601503759398494,3.7249607227022783
"['other vegetables', 'tropical fruit', 'yogurt']",root vegetables,0.00498220640569395,0.4049586776859504,3.715269211792278
"['citrus fruit', 'tropical fruit']",pip fruit,0.005592272496187087,0.28061224489795916,3.709437403993855
"['curd', 'tropical fruit']",yogurt,0.0052872394509405184,0.5148514851485149,3.6906445746615475
"['beef', 'other vegetables']",root vegetables,0.007930859176410779,0.4020618556701031,3.6886924911524854
"['other vegetables', 'root vegetables', 'yogurt']",tropical fruit,0.00498220640569395,0.3858267716535433,3.6769440883843005
"['onions', 'other vegetables']",root vegetables,0.0056939501779359435,0.4,3.669776119402986
"['citrus fruit', 'other vegetables', 'whole milk']",tropical fruit,0.00498220640569395,0.3828125,3.6482179626937983
"['other vegetables', 'whipped/sour cream']",butter,0.005795627859684799,0.2007042253521127,3.621882672179868
"['domestic eggs', 'whole milk']",butter,0.005998983223182512,0.2,3.6091743119266058
"['other vegetables', 'tropical fruit', 'whole milk']",citrus fruit,0.00498220640569395,0.2916666666666667,3.5240069615069616
"['other vegetables', 'whole milk', 'yogurt']",whipped/sour cream,0.005592272496187087,0.2511415525114155,3.5035137148223714
"['other vegetables', 'tropical fruit']",pip fruit,0.00945602440264362,0.26345609065155806,3.4826487252124645
"['fruit/vegetable juice', 'other vegetables', 'whole milk']",yogurt,0.005083884087442806,0.4854368932038835,3.479789974242124
"['beef', 'whole milk']",root vegetables,0.008032536858159633,0.37799043062200954,3.467850639148754
"['root vegetables', 'yogurt']",whipped/sour cream,0.006405693950177936,0.24803149606299213,3.4601273245099677
"['other vegetables', 'pip fruit']",tropical fruit,0.00945602440264362,0.36186770428015563,3.4486132476698947
"['tropical fruit', 'whole milk', 'yogurt']",root vegetables,0.0056939501779359435,0.37583892617449666,3.448111790043074
"['butter', 'whole milk']",domestic eggs,0.005998983223182512,0.2177121771217712,3.4314090737061216
"['root vegetables', 'tropical fruit', 'whole milk']",yogurt,0.0056939501779359435,0.4745762711864407,3.4019370460048424
"['butter', 'whole milk']",whipped/sour cream,0.006710726995424504,0.24354243542435425,3.3975033367354945
"['pip fruit', 'yogurt']",tropical fruit,0.006405693950177936,0.3559322033898305,3.392047694126922
"['margarine', 'whole milk']",domestic eggs,0.005185561769191663,0.21428571428571427,3.377403846153846
"['beef', 'rolls/buns']",root vegetables,0.00498220640569395,0.3656716417910448,3.354832646469147
"['root vegetables', 'tropical fruit']",pip fruit,0.0052872394509405184,0.25120772946859904,3.3207365851124617
"['pip fruit', 'tropical fruit']",citrus fruit,0.005592272496187087,0.2736318407960199,3.306104612074762
"['citrus fruit', 'other vegetables']",root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
"['citrus fruit', 'root vegetables', 'whole milk']",other vegetables,0.005795627859684799,0.6333333333333333,3.2731651777894553
"['rolls/buns', 'shopping bags']",sausage,0.005998983223182512,0.3072916666666667,3.2707938762626267
"['root vegetables', 'tropical fruit']",citrus fruit,0.0056939501779359435,0.27053140096618356,3.2686441382093565
"['other vegetables', 'yogurt']",whipped/sour cream,0.010167768174885612,0.234192037470726,3.2670619695384255
"['other vegetables', 'whole milk', 'yogurt']",tropical fruit,0.007625826131164209,0.3424657534246575,3.263711904003398
"['other vegetables', 'whipped/sour cream', 'whole milk']",root vegetables,0.005185561769191663,0.3541666666666667,3.2492809390547266
"['pip fruit', 'root vegetables']",tropical fruit,0.0052872394509405184,0.33986928104575165,3.238967421593961
"['other vegetables', 'whole milk', 'yogurt']",root vegetables,0.007829181494661922,0.3515981735159817,3.2257164519866426
"['tropical fruit', 'whipped/sour cream']",yogurt,0.0062023385866802234,0.4485294117647059,3.215223589435774
"['other vegetables', 'tropical fruit', 'whole milk']",yogurt,0.007625826131164209,0.44642857142857145,3.200163994169096
"['domestic eggs', 'other vegetables']",whipped/sour cream,0.005083884087442806,0.228310502283105,3.1850124680203376
"['other vegetables', 'rolls/buns', 'whole milk']",root vegetables,0.0062023385866802234,0.3465909090909091,3.179777603459973
"['pip fruit', 'root vegetables', 'whole milk']",other vegetables,0.005490594814438231,0.6136363636363636,3.171368174652463
"['root vegetables', 'tropical fruit', 'yogurt']",other vegetables,0.00498220640569395,0.6125,3.1654952706253283
"['other vegetables', 'whole milk', 'yogurt']",fruit/vegetable juice,0.005083884087442806,0.228310502283105,3.1581347256741745
"['curd', 'whole milk']",whipped/sour cream,0.005897305541433655,0.22568093385214008,3.1483290559373014
"['frozen vegetables', 'other vegetables']",root vegetables,0.006100660904931368,0.34285714285714286,3.1455223880597014
"['other vegetables', 'tropical fruit']",root vegetables,0.012302999491611592,0.34277620396600567,3.1447798190351364
"['other vegetables', 'root vegetables', 'whole milk']",pip fruit,0.005490594814438231,0.23684210526315788,3.1308361629881154
"['chicken', 'whole milk']",root vegetables,0.005998983223182512,0.34104046242774566,3.1288553619187303
"['pip fruit', 'whipped/sour cream']",other vegetables,0.005592272496187087,0.6043956043956044,3.12361049355269
"['other vegetables', 'root vegetables', 'whole milk']",whipped/sour cream,0.005185561769191663,0.2236842105263158,3.120474057484136
"['onions', 'root vegetables']",other vegetables,0.0056939501779359435,0.6021505376344086,3.11200763932444
"['citrus fruit', 'root vegetables']",tropical fruit,0.0056939501779359435,0.3218390804597701,3.0671389111645726
['sliced cheese'],sausage,0.007015760040671073,0.2863070539419087,3.0474349302150134
"['other vegetables', 'tropical fruit']",citrus fruit,0.009049313675648195,0.2521246458923513,3.046248025001566
"['other vegetables', 'tropical fruit']",whipped/sour cream,0.007829181494661922,0.21813031161473087,3.042995198199827
['beef'],root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
"['citrus fruit', 'root vegetables']",other vegetables,0.010371123538383325,0.5862068965517241,3.0296084222733612
"['butter', 'other vegetables']",root vegetables,0.0066090493136756485,0.3299492385786802,3.027099590878097
"['root vegetables', 'tropical fruit', 'whole milk']",other vegetables,0.007015760040671073,0.5847457627118644,3.0220570553185424
"['root vegetables', 'tropical fruit']",other vegetables,0.012302999491611592,0.5845410628019324,3.0209991343441964
"['other vegetables', 'root vegetables', 'whole milk']",citrus fruit,0.005795627859684799,0.25,3.0205773955773956
"['other vegetables', 'whole milk', 'yogurt']",pip fruit,0.005083884087442806,0.228310502283105,3.0180561692934647
"['domestic eggs', 'other vegetables']",root vegetables,0.007320793085917641,0.3287671232876712,3.0162543447147825
"['root vegetables', 'yogurt']",tropical fruit,0.00813421453990849,0.31496062992125984,3.0015870109259595
"['fruit/vegetable juice', 'other vegetables']",tropical fruit,0.0066090493136756485,0.3140096618357488,2.992524248211812
"['citrus fruit', 'other vegetables']",tropical fruit,0.009049313675648195,0.31338028169014087,2.9865262310295884
"['other vegetables', 'pip fruit']",whipped/sour cream,0.005592272496187087,0.2140077821011673,2.985484449595717
"['other vegetables', 'pork']",root vegetables,0.007015760040671073,0.323943661971831,2.972001786840446
"['tropical fruit', 'yogurt']",whipped/sour cream,0.0062023385866802234,0.21180555555555555,2.954762608353034
"['bottled water', 'yogurt']",tropical fruit,0.0071174377224199285,0.30973451327433627,2.9517819167181174
"['butter', 'whipped/sour cream']",other vegetables,0.005795627859684799,0.57,2.94584866001051
"['curd', 'other vegetables']",tropical fruit,0.0052872394509405184,0.3076923076923077,2.9323196183661304
"['curd', 'other vegetables']",root vegetables,0.005490594814438231,0.31952662721893493,2.9314779652035687
"['tropical fruit', 'whipped/sour cream']",other vegetables,0.007829181494661922,0.5661764705882353,2.926088065283917
"['chicken', 'other vegetables']",root vegetables,0.0056939501779359435,0.3181818181818182,2.9191400949796478
"['curd', 'yogurt']",tropical fruit,0.0052872394509405184,0.3058823529411765,2.9150706794345647
"['other vegetables', 'root vegetables', 'tropical fruit']",yogurt,0.00498220640569395,0.4049586776859504,2.902892561983471
"['tropical fruit', 'yogurt']",pip fruit,0.006405693950177936,0.21875,2.891675067204301
"['other vegetables', 'root vegetables', 'whole milk']",tropical fruit,0.007015760040671073,0.3026315789473684,2.884090677274582
"['citrus fruit', 'whole milk']",whipped/sour cream,0.00630401626842908,0.20666666666666667,2.88307328605201
"['fruit/vegetable juice', 'other vegetables']",root vegetables,0.0066090493136756485,0.3140096618357488,2.8808628956665947
"['cream cheese ', 'whole milk']",yogurt,0.0066090493136756485,0.4012345679012346,2.8761967750062984
"['other vegetables', 'pip fruit']",root vegetables,0.00813421453990849,0.311284046692607,2.8558569022591325
"['whipped/sour cream', 'yogurt']",tropical fruit,0.0062023385866802234,0.29901960784313725,2.8496684526523786
"['newspapers', 'other vegetables']",root vegetables,0.005998983223182512,0.3105263157894737,2.8489051453260017
"['butter', 'tropical fruit']",other vegetables,0.005490594814438231,0.5510204081632653,2.847759177238946
"['fruit/vegetable juice', 'root vegetables']",other vegetables,0.0066090493136756485,0.5508474576271186,2.846865341966743
